id,created,status,title,PI_name,FundingType,Application,HoursLogged,DaysOpen
1,7/24/2014 11:32,Closed,Project 44,Elvis Daniels,JIT,BioMS,17.92299503,7.47949398
2,8/15/2014 9:52,Closed,Project 330,Scott Lott,JIT,BioMS,11.49842496,5.370171321
3,9/4/2014 12:30,Closed,Project 470,Cassidy Griffith,JIT,BioMS,27.3313755,8.79223154
4,3/12/2014 10:51,Closed,Project 477,Mollie Chang,JIT,BioMS,15.24613715,7.429801051
5,3/18/2014 11:43,Closed,Project 478,Mollie Chang,JIT,BioMS,26.84965655,8.295873424
6,3/19/2014 10:47,Closed,Project 479,Mollie Chang,JIT,BioMS,36.15685494,9.487133383
7,3/20/2014 10:23,Closed,Project 480,Mollie Chang,JIT,BioMS,7.416296809,4.869159224
8,3/21/2014 11:32,Closed,Project 481,Mollie Chang,JIT,BioMS,19.97715544,8.279739616
9,3/24/2014 10:05,Closed,Project 482,Mollie Chang,JIT,BioMS,0.36016923,5.059073169
10,3/31/2014 13:24,Closed,Project 483,Mollie Chang,JIT,BioMS,24.63871795,9.837744825
11,4/3/2014 12:03,Closed,Project 484,Mollie Chang,JIT,BioMS,25.77540638,8.52584083
12,4/3/2014 12:06,Closed,Project 485,Mollie Chang,JIT,BioMS,23.14415009,5.188769414
13,4/9/2014 13:04,Closed,Project 486,Mollie Chang,JIT,BioMS,26.47826164,9.028524047
14,4/16/2014 11:39,Closed,Project 487,Mollie Chang,JIT,BioMS,36.24991757,6.176390469
15,4/16/2014 11:41,Closed,Project 488,Mollie Chang,JIT,BioMS,7.765695546,5.684753678
16,5/6/2014 10:32,Closed,Project 489,Mollie Chang,JIT,BioMS,2.872490714,6.811518797
17,5/6/2014 11:24,Closed,Project 490,Mollie Chang,JIT,BioMS,5.585869369,6.066489654
18,5/7/2014 9:38,Closed,Project 491,Mollie Chang,JIT,BioMS,2.437542673,4.371793685
19,5/12/2014 10:26,Closed,Project 492,Mollie Chang,JIT,BioMS,23.7943104,8.146817491
20,5/12/2014 16:38,Closed,Project 493,Mollie Chang,JIT,BioMS,7.620082274,6.360709926
21,5/12/2014 16:40,Closed,Project 494,Mollie Chang,JIT,BioMS,7.044356244,7.60599952
22,5/13/2014 12:35,Closed,Project 495,Mollie Chang,JIT,BioMS,23.077631,7.367751647
23,5/14/2014 14:35,Closed,Project 496,Mollie Chang,JIT,BioMS,25.14254711,7.702440318
24,5/20/2014 14:59,Closed,Project 497,Mollie Chang,JIT,BioMS,12.66051602,7.248883466
25,6/3/2014 9:49,Closed,Project 498,Mollie Chang,Department Funds,BioMS,26.65971023,9.536697078
26,6/17/2014 11:38,Closed,Project 499,Mollie Chang,Department Funds,BioMS,12.73732754,6.269289729
27,6/18/2014 9:56,Closed,Project 500,Mollie Chang,Department Funds,BioMS,18.77671497,6.184981406
28,6/18/2014 10:52,Closed,Project 501,Mollie Chang,Department Funds,BioMS,27.2495252,7.386643245
29,6/19/2014 9:26,Closed,Project 502,Mollie Chang,Department Funds,BioMS,7.546980966,4.87431414
30,6/23/2014 13:21,Closed,Project 503,Mollie Chang,Department Funds,BioMS,13.47319544,6.313018582
31,6/25/2014 14:46,Closed,Project 504,Mollie Chang,Department Funds,BioMS,23.13763704,6.661501212
32,7/7/2014 10:57,Closed,Project 505,Mollie Chang,Department Funds,BioMS,17.52742236,7.099939665
33,7/8/2014 10:45,Closed,Project 506,Mollie Chang,Department Funds,BioMS,6.68063726,6.439704799
34,7/9/2014 13:39,Closed,Project 507,Mollie Chang,Department Funds,BioMS,16.98639235,6.931396508
35,7/10/2014 16:25,Closed,Project 508,Mollie Chang,Department Funds,BioMS,13.43296899,6.797231906
36,7/11/2014 13:43,Closed,Project 509,Mollie Chang,Department Funds,BioMS,20.86200849,7.260263931
37,7/11/2014 14:11,Closed,Project 510,Mollie Chang,Department Funds,BioMS,51.01729413,10.68166913
38,7/11/2014 15:27,Closed,Project 511,Mollie Chang,Department Funds,BioMS,18.45108816,5.876903926
39,7/11/2014 15:27,Closed,Project 512,Mollie Chang,Department Funds,BioMS,25.72243244,7.377294324
40,7/14/2014 8:43,Closed,Project 513,Mollie Chang,Department Funds,BioMS,14.35119346,5.358035185
41,7/14/2014 8:53,Closed,Project 514,Mollie Chang,Department Funds,BioMS,7.164929326,6.728589061
42,7/14/2014 9:57,Closed,Project 515,Mollie Chang,Department Funds,BioMS,9.5263481,6.508125808
43,7/14/2014 10:19,Closed,Project 516,Mollie Chang,Department Funds,BioMS,17.43875788,8.068112461
44,7/14/2014 11:25,Closed,Project 517,Mollie Chang,Department Funds,BioMS,0.588401682,5.05375082
45,7/14/2014 12:51,Closed,Project 518,Mollie Chang,Department Funds,BioMS,22.01689519,9.342395445
46,7/14/2014 13:29,Closed,Project 519,Mollie Chang,Department Funds,BioMS,15.86355828,6.129066523
47,7/14/2014 13:37,Closed,Project 520,Mollie Chang,Department Funds,BioMS,3.665768148,3.892970112
48,7/14/2014 14:05,Closed,Project 521,Mollie Chang,Department Funds,BioMS,28.74092471,10.54841523
49,7/14/2014 15:47,Closed,Project 522,Mollie Chang,Department Funds,BioMS,1.097311783,5.078004933
50,7/14/2014 16:02,Closed,Project 523,Mollie Chang,Department Funds,BioMS,17.25569293,6.984800689
51,7/14/2014 16:29,Closed,Project 524,Mollie Chang,Department Funds,BioMS,1.586198034,6.458824785
52,7/15/2014 8:59,Closed,Project 525,Mollie Chang,Department Funds,BioMS,29.26603883,9.70415972
53,7/15/2014 9:17,Closed,Project 526,Mollie Chang,Department Funds,BioMS,14.27639155,9.071301305
54,7/15/2014 10:08,Closed,Project 527,Mollie Chang,Department Funds,BioMS,28.30379826,8.633021734
55,7/15/2014 10:55,Closed,Project 528,Mollie Chang,Department Funds,BioMS,17.41003478,8.411678538
56,7/15/2014 11:09,Closed,Project 529,Mollie Chang,Department Funds,BioMS,12.80174478,6.086224007
57,7/15/2014 11:21,Closed,Project 530,Mollie Chang,Department Funds,BioMS,2.936382077,5.136566326
58,7/15/2014 11:36,Closed,Project 531,Mollie Chang,Department Funds,BioMS,11.21224805,5.314381451
59,7/15/2014 11:59,Closed,Project 532,Mollie Chang,Department Funds,BioMS,16.32344463,7.750813795
60,7/15/2014 12:08,Closed,Project 533,Mollie Chang,Department Funds,BioMS,11.62535852,9.120496948
61,7/15/2014 13:23,Closed,Project 534,Mollie Chang,NA,BioMS,10.65075715,6.56530886
62,7/15/2014 13:29,Closed,Project 535,Mollie Chang,NA,BioMS,0.313988807,6.101972966
63,7/15/2014 13:31,Closed,Project 536,Mollie Chang,NA,BioMS,20.18671797,6.624479376
64,7/15/2014 13:33,Closed,Project 537,Mollie Chang,NA,BioMS,11.499026,8.157759436
65,7/15/2014 16:17,Closed,Project 538,Mollie Chang,NA,BioMS,9.617882714,5.61538859
66,7/15/2014 16:29,Closed,Project 539,Mollie Chang,NA,BioMS,17.07418499,7.81593246
67,7/15/2014 16:48,Closed,Project 540,Mollie Chang,NA,BioMS,17.95593997,7.20401311
68,7/16/2014 8:54,Closed,Project 541,Mollie Chang,NA,BioMS,31.67703632,9.128947454
